model_name,sequence_length,conc,costh_roof,costh_y,costn_roof,costn_y,costr_roof,costr_y,hwKey,precision,tp,tpPerGpu_roof,tpPerGpu_y,tpPerMw_roof,tpPerMw_y,e2e_x,e2e_y,inter_x,inter_y
gpt-oss 120B,1k-8k,16,False,0.862,False,1.07,False,1.212,mi325x,fp4,8,False,412.641,False,189285.031,39.252,412.641,190.093,412.641
gpt-oss 120B,1k-8k,32,True,0.28,True,0.336,True,0.416,b200,fp4,4,True,1936.502,True,892397.165,33.686,1936.502,221.269,1936.502
gpt-oss 120B,1k-8k,8,False,0.301,False,0.361,False,0.447,b200,fp4,1,False,1801.807,False,830325.972,35.904,1801.807,204.515,1801.807
gpt-oss 120B,1k-8k,8,False,1.658,False,1.99,False,2.466,b200,fp4,8,False,326.701,False,150553.439,24.781,326.701,300.092,326.701
gpt-oss 120B,1k-8k,4,True,0.49,True,0.588,True,0.729,b200,fp4,1,True,1105.458,True,509427.543,28.832,1105.458,250.095,1105.458
gpt-oss 120B,1k-8k,32,False,0.177,False,0.213,False,0.264,b200,fp4,2,False,3055.002,False,1407835.147,42.547,3055.002,174.36,3055.002
gpt-oss 120B,1k-8k,32,False,0.125,False,0.15,False,0.186,b200,fp4,1,False,4330.156,False,1995463.755,60.412,4330.156,122.017,4330.156
gpt-oss 120B,1k-8k,16,False,0.982,False,1.178,False,1.46,b200,fp4,8,False,551.791,False,254281.612,29.415,551.791,252.084,551.791
gpt-oss 120B,1k-8k,4,True,3.011,True,3.613,True,4.478,b200,fp4,8,True,179.883,True,82895.506,22.235,179.883,324.28,179.883
gpt-oss 120B,1k-8k,64,True,0.087,True,0.104,True,0.129,b200,fp4,1,True,6228.689,True,2870363.569,83.249,6228.689,88.75,6228.689
gpt-oss 120B,1k-8k,4,False,0.867,False,1.04,False,1.289,b200,fp4,2,False,624.934,False,287988.162,25.653,624.934,279.129,624.934
gpt-oss 120B,1k-8k,16,True,0.489,True,0.586,True,0.727,b200,fp4,4,True,1108.296,True,510735.321,29.215,1108.296,252.084,1108.296
gpt-oss 120B,1k-8k,64,False,0.335,False,0.402,False,0.499,b200,fp4,8,False,1615.377,False,744413.502,39.832,1615.377,184.852,1615.377
gpt-oss 120B,1k-8k,32,False,0.547,False,0.657,False,0.814,b200,fp4,8,False,990.061,False,456249.239,32.748,990.061,226.321,990.061
gpt-oss 120B,1k-8k,4,True,1.579,True,1.895,True,2.349,b200,fp4,4,True,342.97,True,158050.621,23.284,342.97,308.233,342.97
gpt-oss 120B,1k-8k,16,False,0.307,False,0.369,False,0.457,b200,fp4,2,False,1763.37,False,812612.953,36.943,1763.37,201.687,1763.37
gpt-oss 120B,1k-8k,8,True,0.847,True,1.016,True,1.259,b200,fp4,4,True,639.759,True,294819.624,25.39,639.759,292.426,639.759
gpt-oss 120B,1k-8k,16,False,0.194,False,0.233,False,0.289,b200,fp4,1,False,2790.968,False,1286160.497,46.57,2790.968,157.828,2790.968
gpt-oss 120B,1k-8k,8,False,0.501,False,0.601,False,0.745,b200,fp4,2,False,1081.385,False,498334.005,29.895,1081.385,247.185,1081.385
